building_name,brand_group,model_prefix,age_band,unit_count,mean_predicted_fault_risk,median_predicted_fault_risk,p90_predicted_fault_risk,mean_prior_fault_count
松濤二館,大金,FTX,21 年以上,51,0.3579369882876305,0.354059990860734,0.4102738923384875,6.019607843137255
松濤三館,大金,FTX,21 年以上,65,0.3303140921124148,0.3232299151857645,0.3721077667106062,4.553846153846154
松濤一館,大金,FTX,21 年以上,110,0.3239129069895142,0.3237086500153657,0.3668076806400849,4.381818181818182
松濤二館,日立,其他,11–15 年,3,0.2330947594952585,0.2624379724322595,0.2740533390324535,5.333333333333333
松濤二館,日立,其他,16–20 年,1,0.2256716164851898,0.2256716164851898,0.2256716164851898,1.0
松濤三館,日立,RAS,11–15 年,4,0.2196498258900527,0.2102752737059714,0.2392719874052526,2.75
松濤二館,日立,RAS,11–15 年,8,0.2109420456352841,0.213473031912635,0.2223057994660592,1.75
松濤一館,日立,RAS,11–15 年,3,0.1984849692273441,0.1826946714642713,0.2497847301720945,1.3333333333333333
松濤三館,萬士益,RAS,0–5 年,1,0.1931507947886897,0.1931507947886897,0.1931507947886897,2.0
松濤一館,日立,RAS,6–10 年,28,0.1684512542445136,0.1663039580555533,0.2077885062645632,1.5
松濤二館,日立,RAS,6–10 年,42,0.162716940497488,0.1674968432969169,0.1897663299916951,0.9047619047619048
松濤三館,日立,RAS,6–10 年,55,0.1614919602191306,0.1585834100931736,0.1896596731991615,0.7454545454545455
松濤一館,日立,其他,11–15 年,2,0.1603416173923619,0.1603416173923619,0.1716654501819788,1.0
松濤一館,日立,RAS,0–5 年,28,0.142425711465479,0.1365961719881064,0.1847804422594114,2.2857142857142856
松濤三館,日立,RAS,0–5 年,56,0.1417580315802538,0.1292070552687934,0.1922329079034623,2.4107142857142856
松濤二館,日立,RAS,0–5 年,30,0.1416037047114334,0.1270109410728994,0.1896576092412997,1.8333333333333333
松濤二館,萬士益,RA/RAC,6–10 年,33,0.1352184241274353,0.1359345452919084,0.1511551056734106,0.5151515151515151
松濤三館,萬士益,其他,0–5 年,8,0.1011331758689154,0.1010625511686692,0.1012320504492601,0.0
松濤二館,萬士益,其他,0–5 年,2,0.0920236470843867,0.0920236470843867,0.0995725941140357,0.0
